Id,CAS,SMILES,Status,Experimental_value,Predicted value,BINARY Predicted value,BINARY with unpredicted
82,36712-34-2,O=[N+]([O-])c1ccc(cc1)c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
89,88-88-0,O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])Cl)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
98,77121-90-5,O=C1c5cccc(OC)c5(C(=O)c2c(O)c4c(c(O)c12)CC(O)(C(=O)CO)CC4(OC3OC(C)C(OC)C(N)C3)),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
101,96563-10-9,Fc2ccc3c1ccc(F)cc1C(c3(c2))C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
102,2508-20-5,O=Nc2ccc3c1ccccc1Cc3(c2),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
107,96-99-1,O=C(O)c1ccc(c(c1)[N+](=O)[O-])Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
117,108-70-3,c1c(cc(cc1Cl)Cl)Cl,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
138,2012-00-2,O=[N+]([O-])c2ccc(OP(=O)(OCC)c1ccccc1)cc2,Test,Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
139,102822-04-8,O=C1C(=O)c3ccc(c4ccc2cccc1c2c34)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
119,57-13-6,O=C(N)N,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
120,29916-56-1,[O-][N+]([O-])=C1CCCC1,Test,Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
123,98-95-3,O=[N+]([O-])c1ccccc1,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
128,108-89-4,n1ccc(cc1)C,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
129,93780-96-2,OC3c2ccc1cc5ccc6ccccc6(c5(nc1c2C4OC4(C3(O)))),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
131,578-06-3,n1c3ccccc3(cc2c1cccc2(N)),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
132,42200-33-9,OC(COc1cccc2c1CC(O)C(O)C2)CNC(C)(C)C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
144,161697-03-6,n1c2ccc(N)c(c2(nc(c1C)C))C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
152,133831-60-4,O=[N+]([O-])c1ccccc1SSC(=C(Cl)Cl)Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
155,6884-87-3,O=C(Nc1ccc(cc1)S(=O)(=O)NC)C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
158,123-73-9,O=CC=CC,Test,Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
165,116505-02-3,O=C(ON(c1ccc(cc1)Sc2ccccc2)C(=O)C)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
166,96910-73-5,O=CC1=CC(C)C2CC(C)(C)CC2(O)(C=C1(C=O)),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
168,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
170,212-54-4,c1ccc5c(c1)ccc4ccc3c2ccccc2Cc3c45,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
173,95-70-5,Nc1ccc(N)c(c1)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
175,6358-53-8,Oc2ccc3ccccc3(c2(N=Nc1cc(OC)ccc1(OC))),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
177,96-69-5,Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
180,598-55-0,O=C(OC)N,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
183,3018-12-0,N#CC(Cl)Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
207,2397-76-4,O=C(OCC(C)(C)C)C(=C)C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
210,33089-36-0,O1CCOCCOCCOCCOCCOCCOCC1,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
212,299-88-7,O=C(OCCC(=C(NC(=O)Cc1cnc(nc1(N))C)C)SC(=O)c2ccccc2)c3ccccc3,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
216,75-36-5,O=C(C)Cl,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
228,6257-64-3,N(=Nc1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
232,836-37-3,N#CC(=Cc1oc(cc1)[N+](=O)[O-])C(=O)OC,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
253,2224-15-9,O(CCOCC1OC1)CC2OC2,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
264,626-43-7,Nc1cc(cc(c1)Cl)Cl,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
273,67-71-0,O=S(=O)(C)C,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
285,3688-53-7,O=C(N)C(=Cc1oc(cc1)[N+](=O)[O-])c2occc2,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
288,96839-34-8,O=[N+]([O-])c1cccc(c1CO)[N+](=O)[O-],Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
291,116-66-5,O=[N+]([O-])c1cc2c(c(c1C)[N+](=O)[O-])C(C)(C)CC2(C)C,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
299,115-86-6,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
300,58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
305,62-50-0,O=S(=O)(OCC)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
308,159394-73-7,N#Cc1ccc(cc1)C=Cc2ccc(cc2)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
313,19600-63-6,O1CC1CCCCC=C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
324,709-49-9,O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])I,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
325,316-14-3,c1ccc2cc3c(cc2(c1))c4ccccc4(cc3C),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
327,74367-78-5,O=[N+]([O-])c1cc(cc(c1)CCl)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
328,1013-96-3,O=C(O)C=Cc1ccccc1[N+](=O)[O-],Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
329,16430-32-3,O=C(OCc2c3ccccc3(cc1ccccc12))C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
340,18234-46-3,O=CC2=CC=C1C2(=COC=C1COC(=O)C),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
341,4812-40-2,O=[N+]([O-])c1cnc(n1CCO)CO,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
355,94500-54-6,c1ccc2c(c1)cc3ccc4cccc5cc(c2c3c45)CCl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
374,2303-16-4,O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
363,607-35-2,O=[N+]([O-])c2cccc1cccnc12,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
367,51630-58-1,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
368,13952-84-6,NC(C)CC,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
614,96563-06-3,c1ccc3c(c1)c2cc(c(cc2C3C)C)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
616,2984-50-1,O1CC1CCCCCC,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
736,215-62-3,n1c5ccccc5(cc4c1c2ccccc2c3ccccc34),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
1066,106589-49-5,n2c5ccc1ccccc1c5(cc4c2ccc3c4(C=CCC3)),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
1068,76629-87-3,O=C(OC(C)CN(CC)CC)Nc1ccccc1(OCCCCCCC),Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
1712,27758-60-7,NN(c1ccc(cc1)C)c2ccc(cc2)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
377,141-91-3,O1C(C)CNCC1C,Test,Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
383,609-31-4,O=[N+]([O-])C(CO)CC,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
388,63019-38-5,Oc4cccc1c4(ccc2c3ccccc3(ccc12)),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
393,965-52-6,O=C(NN=Cc1oc(cc1)[N+](=O)[O-])c2ccc(O)cc2,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
396,24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
398,101-18-8,Oc1cccc(c1)Nc2ccccc2,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
399,5806-00-8,O=[N+]([O-])c2cccc(N=[N+]([O-])c1cccc(c1C)[N+](=O)[O-])c2C,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
405,96563-11-0,Fc2ccc3c1ccccc1C(c3(c2))C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
416,3531-19-9,O=[N+]([O-])c1cc(c(N)c(c1)Cl)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
421,99-76-3,O=C(OC)c1ccc(O)cc1,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
428,202-03-9,c1ccc2c(c1)cc4cccc3C=Cc2c34,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
432,125239-65-8,n1c3ccc(N)cc3(nc2cc(OC)c(N)cc12),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
433,3132-64-7,O1CC1CBr,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
437,52101-49-2,O=C(c3oc(c(c1ccccc1)c3(c2ccccc2))[N+](=O)[O-])C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
438,116-06-3,O=C(ON=CC(C)(C)SC)NC,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
440,26651-23-0,O=S(=O)(O)c4ccc1ccc2cccc3ccc4(c1c23),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
445,100593-23-5,O=Nc1ccc2ccc3ccc(c4ccc1c2c34)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
450,627-18-9,OCCCBr,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
452,230-27-3,n2cccc3ccc1ccccc1c23,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
469,313-80-4,n1ccc2ccc4cccc3ccc1c2c34,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
483,109460-96-0,N#CC(=Cc1ccccc1Br)C(=O)OC,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
489,132335-15-0,c1ccc3c(c1)ccc4c2ccccc2C5NC5(c34),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
492,109-21-7,O=C(OCCCC)CCC,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
494,142-96-1,O(CCCC)CCCC,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
498,21738-42-1,O=[N+]([O-])c1cc2NC(CNC(C)C)CCc2(cc1CO),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
506,253-52-1,n1ncc2ccccc2(c1),Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
508,83-38-5,O=Cc1c(cccc1Cl)Cl,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
546,198-55-0,c1cc2cccc3c5cccc4cccc(c(c1)c23)c45,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
548,95896-78-9,n1cc(nc3c1cc(c2c3(nc(N)n2C))C)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
551,137-05-3,N#CC(=C)C(=O)OC,Test,Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
561,20426-12-4,O=C(C=Cc1ccc(O)cc1)c2ccccc2,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
565,93673-39-3,Oc5cccc1c5(ccc2c4C=Cc3cccc(cc12)c34),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
570,5466-84-2,O=C1OC(=O)c2cc(ccc12)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
574,104-55-2,O=CC=Cc1ccccc1,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
590,120209-97-4,n1c3ccc(N)cc3(nc2ccc(N)cc12),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
583,30747-87-6,O=[N+]([O-])c1ccc2c(c1)c(ns2)Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
584,107-31-3,O=COC,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
587,112022-07-8,O=C(NCCN(C)C)c2cccc3C(=O)c1ccccc1Sc23,Test,Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
595,82-28-0,O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
599,100-14-1,O=[N+]([O-])c1ccc(cc1)CCl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
604,759-94-4,O=C(N(CCC)CCC)SCC,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
620,99-52-5,O=[N+]([O-])c1ccc(N)c(c1)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
623,53473-85-1,n2cc1cc(N)ccc1s2,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
624,93-15-2,O(c1ccc(cc1(OC))CC=C)C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
631,109143-16-0,O=[N+]([O-])c1oc2ccc(cc2(c1))N(CCCl)CCCl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
636,194-69-4,c1ccc5c(c1)ccc4c5(ccc3ccc2ccccc2c34),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
640,6264-66-0,O(c1ccc(N)cc1)c2ccc(N)c(N)c2,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
650,115453-72-0,O=C(O)C(N)CSC(=C(C(Cl)(Cl)Cl)Cl)Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
652,872-50-4,O=C1N(C)CCC1,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
659,103302-38-1,OC1C=CC=CC1(O),Test,Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
667,830-07-9,O=[N+]([O-])C=Cc1oc(cc1)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
668,52-90-4,O=C(O)C(N)CS,Test,Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
675,119613-62-6,OC4c2ccc1c5ccccc5(cc(c1c2C3OC3C4(O))CC),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
677,627-30-5,OCCCCl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
683,52671-42-8,O=Nc2ccc(Oc1ccccc1)cc2,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
686,122367-97-9,c3c1c4c(cn1CC2CC2)CC5N(C)CC(C)CC5(c4(cc3Br)),Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
707,3198-41-2,n1c3c(N)cccc3(cc2c1CCCC2),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
709,114231-14-0,O=C4C=C(c1ccccc1)N(c2cc(OC)cc(OC)c2Cl)C(c3ccc(F)cc3)=C4C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
711,4196-86-5,O=C(OCC(COC(=O)c1ccccc1)(COC(=O)c2ccccc2)COC(=O)c3ccccc3)c4ccccc4,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
720,153-78-6,Nc2ccc3c1ccccc1Cc3(c2),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
723,78865-83-5,c1c[n+](cn1CSCCCCCCCCCC)C,Test,Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
738,501-92-8,Oc1ccc(cc1)CC=C,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
740,95860-07-4,O=[N+]([O-])c1ccc(c(c1)NO)C,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
741,92072-09-8,O=[N+]([O-])c3ccc1c5cccc4ccc(c(c2cccc3(c12))c45)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
746,77784-21-5,O=C2C(=O)N(c4cc1c(OC)c(OC)ccc1c3c5OCOc5(cc2c34))C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
759,117929-15-4,O=[N+]([O-])c1cc2ccc3cc(cc4ccc(c1)c2c34)[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
779,116374-67-5,O=[N+]([O-])c3ccc(c2nc1ccccc1c(NCCCN(C)C)c23)N(C)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
784,1503-91-9,O=C(N(O)c1ccc(cc1)Cl)C,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
785,126572-80-3,O=C(O)C(=C(C(=O)O)Cl)C(Cl)Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
791,106-46-7,c1cc(ccc1Cl)Cl,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
798,26761-45-5,O=C(OCC1OC1)CCCCCC(C)(C)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
802,146795-39-3,O=C(Nc1cccc(c1)Cl)c2cc([N+](=O)[O-])sc2,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
817,24367-94-0,O=C(Nc1ccc(cc1)Cc2ccc(N)cc2)C,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
824,84850-16-8,O4C5c1ccccc1c3c6ccccc6(c2ccccc2c3C45),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
826,771-03-9,O=C1OC(=CC(O)=C1C(=O)C)C,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
840,2438-88-2,O=[N+]([O-])c1c(c(c(OC)c(c1Cl)Cl)Cl)Cl,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
856,91-79-2,n1ccccc1N(Cc2ccsc2)CCN(C)C,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
863,63104-32-5,c2cc3ccc4cc1cccc(c1c5ccc(c2)c3c45)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
867,6201-87-2,O=C(O)c1cc(N)cc(c1(O))S(=O)(=O)O,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
881,7473-93-0,O=C(C=Cc1ccccc1[N+](=O)[O-])c2ccccc2,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
890,148193-32-2,O=[N+]([O-])c1ccc2c(nsc2(c1))OC,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
894,700-00-5,n2cnc1c(ncn1C)c2N,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
895,933-78-8,Oc1cc(cc(c1Cl)Cl)Cl,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
904,135086-91-8,O=C2c3[nH]c4ccccc4(c3(N=NN2(N=Cc1ccc(cc1)[N+](=O)[O-]))),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
919,7156-07-2,c2cc1cccc3c1c(c2)C4NC34,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
921,108283-47-2,[N-]=[N+]=NCC(N)C(=O)OC(C)(C)C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
922,109143-17-1,O=[N+]([O-])c1oc2cc(ccc2(c1))N(CCCl)CCCl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
925,833-50-1,n1c(oc2ccccc12)c3ccccc3,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
931,55268-74-1,O=C4N2CCc1ccccc1C2CN(C(=O)C3CCCCC3)C4,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
932,61064-66-2,c1ccc3c(c1)c2ccc(cc2C3)NCl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
936,121-44-8,N(CC)(CC)CC,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
940,23703-14-2,O1CC1Cc2ccc(cc2)c3ccccc3,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
946,109-83-1,OCCNC,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
951,99593-25-6,O=C(c1ccccc1Cl)c2cc(ccc2n3nc(nc3CNC(=O)CN)C(=O)N(C)C)Cl,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
952,575-44-0,Oc1ccc2c(O)cccc2(c1),Test,Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
954,37393-11-6,O=C3c5ccccc5(C(=O)c4c(O)c(c(OC2OC(COC1OCC(O)C(O)C1(O))C(O)C(O)C2(O))cc34)CO),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
959,98151-92-9,Nc1ccc2ccc4c5ccccc5(cc3ccc1c2c34),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
960,86451-37-8,O=NN(C)CC(O)CO,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
966,97166-13-7,CC(C(CBr)Br)Cl,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
970,21490-63-1,O1C(C)C1C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
985,33213-65-9,O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
989,80-39-7,O=S(=O)(NCC)c1ccc(cc1)C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
993,91687-67-1,O=C(NCc1ccc(cc1)Cl)C(C)Br,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
997,30039-44-2,O=C(OCc1ccc(cc1)[N+](=O)[O-])CC,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
998,134-72-5,OC(c1ccccc1)C(NC)C,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
1000,1918-00-9,O=C(O)c1c(OC)c(ccc1Cl)Cl,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
1012,81-55-0,O=C1c3c(O)ccc(c3(C(=O)c2c(ccc(O)c12)[N+](=O)[O-]))[N+](=O)[O-],Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
1017,118174-26-8,O=C(OC(C)(C)C)NN=Cc2c[n+]([O-])c1ccccc1[n+]2([O-]),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
1018,2508-23-8,O=C(N(O)c1ccc2ccccc2(c1))C,Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
1024,124-09-4,NCCCCCCN,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
1038,113163-21-6,OC2C=Cc1c3ncccc3(ccc1C2(O)),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
1045,3722-54-1,O=C1c3cc(OC)ccc3(Oc2cc(OC)cc(OC)c12),Test,Mutagenic,Mutagenic,Mutagenic,Mutagenic
1056,75-69-4,FC(Cl)(Cl)Cl,Test,NON-Mutagenic,Mutagenic,Mutagenic,Mutagenic
1075,824-94-2,O(c1ccc(cc1)CCl)C,Test,NON-Mutagenic,Possible NON-Mutagenic,NON-Mutagenic,
1079,2244-16-8,O=C1C(=CCC(C(=C)C)C1)C,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
1086,18810-04-3,O=C(O)C(N)CNCCCCC(N)C(=O)O,Test,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic,NON-Mutagenic
